Number,Steps,Cache Method,Time (ms),Cache Hit Rate (%)
10615,148,MRU,0.26,0.00%
9078,184,MRU,0.25,0.00%
8078,145,MRU,0.25,0.00%
3852,51,MRU,0.25,0.00%
4673,59,MRU,0.25,0.00%
11396,68,MRU,0.26,0.00%
1788,99,MRU,0.25,0.00%
6418,75,MRU,0.25,0.00%
12754,81,MRU,0.25,0.00%
4295,77,MRU,0.25,0.00%
10874,68,MRU,0.25,0.00%
4488,46,MRU,0.25,0.00%
1241,39,MRU,0.25,0.00%
5766,142,MRU,0.25,0.00%
5867,80,MRU,0.27,0.00%
5262,191,MRU,0.18,0.00%
4456,46,MRU,0.19,0.00%
2992,48,MRU,0.28,0.00%
3173,79,MRU,0.25,0.00%
5760,23,MRU,0.25,0.00%
2869,35,MRU,0.25,0.00%
12721,107,MRU,0.25,0.00%
10492,104,MRU,0.25,0.00%
402,19,MRU,0.25,0.00%
9359,47,MRU,0.25,0.00%
7452,70,MRU,0.25,0.00%
3744,25,MRU,0.25,0.00%
6494,49,MRU,0.25,0.00%
1611,21,MRU,0.25,0.00%
2470,133,MRU,0.25,0.00%
5099,116,MRU,0.25,0.00%
8637,127,MRU,0.23,0.00%
10603,104,MRU,0.21,0.00%
7962,26,MRU,0.20,0.00%
7468,39,MRU,0.20,0.00%
8892,184,MRU,0.21,0.00%
10545,148,MRU,0.21,0.00%
526,79,MRU,0.21,0.00%
4873,121,MRU,0.21,0.00%
3820,30,MRU,0.21,0.00%
2901,22,MRU,0.21,0.00%
5523,129,MRU,0.21,0.00%
8129,39,MRU,0.21,0.00%
3600,56,MRU,0.21,0.00%
10390,104,MRU,0.21,0.00%
7356,163,MRU,0.21,0.00%
2880,22,MRU,0.21,0.00%
2482,40,MRU,0.21,0.00%
9617,47,MRU,0.21,0.00%
4365,46,MRU,0.21,0.00%
9889,122,MRU,0.21,0.00%
10656,117,MRU,0.21,0.00%
11532,143,MRU,0.21,0.00%
8954,91,MRU,0.21,0.00%
985,23,MRU,0.21,0.00%
7424,26,MRU,0.21,0.00%
6684,44,MRU,0.21,0.00%
12933,169,MRU,0.21,0.00%
3222,22,MRU,0.21,0.00%
5498,41,MRU,0.21,0.00%
1327,52,MRU,0.21,0.00%
12851,125,MRU,0.21,0.00%
6179,36,MRU,0.21,0.00%
69,14,MRU,0.21,0.00%
384,14,MRU,0.21,0.00%
10986,130,MRU,0.21,0.00%
10582,55,MRU,0.25,0.00%
12473,200,MRU,0.20,0.00%
5790,54,MRU,0.21,0.00%
3137,35,MRU,0.21,0.00%
11765,50,MRU,0.21,0.00%
833,28,MRU,0.21,0.00%
1527,153,MRU,0.21,0.00%
8840,96,MRU,0.21,0.00%
919,129,MRU,0.21,0.00%
4446,183,MRU,0.21,0.00%
6810,62,MRU,0.21,0.00%
3093,123,MRU,0.21,0.00%
1962,24,MRU,0.21,0.00%
1217,132,MRU,0.21,0.00%
5748,54,MRU,0.21,0.00%
8830,171,MRU,0.21,0.00%
11295,60,MRU,0.21,0.00%
10289,60,MRU,0.21,0.00%
7124,75,MRU,0.21,0.00%
9162,153,MRU,0.21,0.00%
7354,132,MRU,0.21,0.00%
6535,137,MRU,0.19,0.00%
12949,50,MRU,0.18,0.00%
595,74,MRU,0.18,0.00%
9350,60,MRU,0.18,0.00%
1700,60,MRU,0.18,0.00%
809,46,MRU,0.18,0.00%
11994,50,MRU,0.18,0.00%
12690,81,MRU,0.18,0.00%
10547,148,MRU,0.18,0.00%
5603,36,MRU,0.18,0.00%
11683,81,MRU,0.18,0.00%
2258,37,MRU,0.18,0.00%
80,9,MRU,0.18,0.00%
226,13,MRU,0.18,0.00%
291,117,MRU,0.18,0.00%
4517,38,MRU,0.18,0.00%
3603,162,MRU,0.18,0.00%
11472,37,MRU,0.18,0.00%
9313,109,MRU,0.18,0.00%
1244,88,MRU,0.18,0.00%
11312,130,MRU,0.18,0.00%
7442,70,MRU,0.18,0.00%
1265,39,MRU,0.18,0.00%
131,28,MRU,0.18,0.00%
9407,109,MRU,0.18,0.00%
3128,123,MRU,0.18,0.00%
1828,130,MRU,0.18,0.00%
3734,38,MRU,0.18,0.00%
12882,125,MRU,0.18,0.00%
7580,176,MRU,0.18,0.00%
7279,176,MRU,0.18,0.00%
457,128,MRU,0.18,0.00%
12109,68,MRU,0.18,0.00%
5684,36,MRU,0.18,0.00%
11572,50,MRU,0.18,0.00%
680,12,MRU,0.18,0.00%
1951,174,MRU,0.18,0.00%
8365,39,MRU,0.18,0.00%
6400,31,MRU,0.18,0.00%
7853,83,MRU,0.18,0.00%
10581,117,MRU,0.18,0.00%
3964,100,MRU,0.18,0.00%
5808,49,MRU,0.18,0.00%
9675,73,MRU,0.18,0.00%
4238,82,MRU,0.18,0.00%
2164,45,MRU,0.18,0.00%
8195,114,MRU,0.18,0.00%
9021,140,MRU,0.18,0.00%
693,33,MRU,0.18,0.00%
5716,36,MRU,0.18,0.00%
11193,68,MRU,0.18,0.00%
11354,130,MRU,0.18,0.00%
1760,117,MRU,0.18,0.00%
5532,98,MRU,0.18,0.00%
3856,25,MRU,0.18,0.00%
8658,52,MRU,0.18,0.00%
5832,36,MRU,0.16,0.00%
7766,52,MRU,0.15,0.00%
5512,129,MRU,0.15,0.00%
3709,118,MRU,0.15,0.00%
3564,48,MRU,0.15,0.00%
10641,55,MRU,0.15,0.00%
7460,70,MRU,0.15,0.00%
11152,130,MRU,0.15,0.00%
8813,52,MRU,0.15,0.00%
2264,63,MRU,0.15,0.00%
5902,98,MRU,0.15,0.00%
5938,142,MRU,0.15,0.00%
5964,93,MRU,0.15,0.00%
6321,155,MRU,0.16,0.00%
4830,121,MRU,0.15,0.00%
1113,137,MRU,0.16,0.00%
12217,37,MRU,0.17,0.00%
11262,161,MRU,0.17,0.00%
2605,102,MRU,0.16,0.00%
3348,43,MRU,0.15,0.00%
1883,86,MRU,0.15,0.00%
3590,69,MRU,0.15,0.00%
9984,42,MRU,0.15,0.00%
2760,128,MRU,0.15,0.00%
817,41,MRU,0.15,0.00%
3643,162,MRU,0.15,0.00%
5773,49,MRU,0.15,0.00%
9536,29,MRU,0.15,0.00%
5991,93,MRU,0.15,0.00%
9545,78,MRU,0.15,0.00%
5680,36,MRU,0.15,0.00%
2858,35,MRU,0.15,0.00%
11394,68,MRU,0.15,0.00%
6556,106,MRU,0.15,0.00%
1827,130,MRU,0.15,0.00%
9944,73,MRU,0.15,0.00%
6435,75,MRU,0.15,0.00%
10582,55,MRU,0.00,0.55%
5909,23,MRU,0.15,0.55%
3565,48,MRU,0.15,0.55%
12516,112,MRU,0.15,0.54%
3641,118,MRU,0.15,0.54%
9546,104,MRU,0.15,0.54%
10118,73,MRU,0.15,0.53%
11223,161,MRU,0.15,0.53%
8628,52,MRU,0.15,0.53%
6257,124,MRU,0.15,0.53%
3206,61,MRU,0.15,0.52%
5703,54,MRU,0.15,0.52%
4787,72,MRU,0.15,0.52%
5401,160,MRU,0.15,0.52%
611,38,MRU,0.15,0.51%
11033,99,MRU,0.15,0.51%
2801,35,MRU,0.15,0.51%
3509,56,MRU,0.15,0.51%
8501,127,MRU,0.15,0.50%
5916,98,MRU,0.15,0.50%
3243,48,MRU,0.15,0.50%
127,46,MRU,0.15,0.50%
10332,55,MRU,0.15,0.49%
376,107,MRU,0.15,0.49%
6031,93,MRU,0.15,0.49%
3211,123,MRU,0.15,0.49%
4259,126,MRU,0.14,0.48%
2885,48,MRU,0.14,0.48%
3945,100,MRU,0.14,0.48%
9769,104,MRU,0.14,0.48%
12356,37,MRU,0.14,0.47%
9461,60,MRU,0.14,0.47%
5413,41,MRU,0.14,0.47%
6466,168,MRU,0.14,0.47%
8498,127,MRU,0.14,0.47%
7484,132,MRU,0.14,0.46%
5564,116,MRU,0.14,0.46%
6288,62,MRU,0.14,0.46%
3757,87,MRU,0.14,0.46%
9019,39,MRU,0.14,0.45%
7234,163,MRU,0.14,0.45%
8889,184,MRU,0.14,0.45%
2680,71,MRU,0.14,0.45%
5057,72,MRU,0.14,0.45%
8365,39,MRU,0.00,0.89%
6873,31,MRU,0.14,0.88%
9649,60,MRU,0.14,0.88%
5168,103,MRU,0.14,0.88%
6930,150,MRU,0.14,0.87%
12807,81,MRU,0.14,0.87%
7682,39,MRU,0.14,0.87%
921,129,MRU,0.14,0.86%
6621,44,MRU,0.14,0.86%
